,0
682,Try the Apple crisp syrup with the vanilla sweet cream foam.😍😍😍
683,YESSSS
684,TAAAAHHHH
685,I'm waiting on the crème brûlée
686,😭
687,NO
688,🎃
689,ITS SUMMER STILL
690,How about credit card tips for unionized stores???? 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
691,Is this the Uk as well???
692,TODAY’S THE DAYYYY!! AND IT’S MY BIRTHDAY!!
693,BRING BACK THE ALMOND CROISSANT🚨🚨🚨
694,Yuhhh abouta cop some
695,Lmfao no way you guys brought it back for my birthday 😭
696,IM SO HAPPY IM CRYING I DID. KT EXPECT IT TO HAPPEN THIS SOON
697,@lexybaglia fall is here!
698,Yessssssssss!!!!🍂🎃
699,If only all stores had all items on the menu available ☹️
700,@edmeagher44
701,@lexjanrob know what we are doing this weekend
702,Someone needs to remind yall that it's 110° in Texas
703,I 💚u @starbucks PSL🎃☕️
704,Starbies it is 100 degrees in Wisconsin. We are not ready for this today 😅 try again tomorrow
705,😍😍😍😍
706,@mjbrowny21 Spooky season!!!
707,This + Fall + Gilmore girls = HAPPY
708,@crimznroses @reayaboo @charmed_khoo 😍😂
709,😍😍😍😍😍😍😍😍😍
710,🙌
711,I’m a black girl and I understand the obsession with pumpkin spice. It’s so good 🙏
712,No stop this nonsense it’s still summer for 30 more days
713,BRING OUT THE UGG BOOTS AND NORTH FACESSSS 😂😂😂😂😂
714,It’s my birthday! 🥳🥳 thanks for the breakfast and coffee this morning 🤍🎃✨
715,I want my pumpkin scone :(((
716,Today should be a national holiday.
717,Itsssss the BEST DAYYYYY EVEEEERRRRRRRRR!!!
718,Now we gotta see those terrible hats.. y'all know what I mean.
719,OTW rn
720,@wendyparker828
721,@laurensmullen_
722,Blah blah blah. I just wish they would bring back the #gingerbreadlatte
723,❤️
724,"Hi Rosalyn, hope you are doing well. Hope to see you both during the holidays. It has been too long! Love You, Evonne♥️🙏🏻♥️"
725,Oh no! Where is my pumpkin scone??
726,What is this? It's 92° outside here! And the first day of fall is Sept 23rd. Slow tf down. 😂
727,The new baked apple croissant is super yummy! 😍
728,🙌🙌🙌
729,the vsco girls are running to this
730,My bf is more excited than I was about pumpkin season! He’s in his basic white girl era🫶🏼
731,Got my PSL this morning! 😍 My favorite time of year is officially here! 🎃☕️
732,Is there still milk in it?
733,Got mine this morning…all is well with the world again now that Pumpkin Spice is back 🍁🎃
734,Bring back the almond croissant
735,Bring back the almond croissant pleasseeeeeeeeeee
736,It begins.
737,🧡🎃🍂🫶🏼🙌🏼
738,When is it out in the UK?
739,AHHH
740,🙌
741,@cassandraa.13 🎃🎃🎃🎃🎃🎃
742,TODAYS THE DAY!!!!🎃✨ it’s the beginning of my season!😍
743,My favorite season is on the way TO ANYONE WHO HAS A BIRTHDAY IN AUTUMN 🍂 REMINDER WE ARE FULL OF MAGIC KNOW YOUR HOROSCOPE AUTUMN IS MY FAVORITE SEASON LOVE YOU @starbucks CANT WAIT TO TASTE THAT PUMPKIN SPICE
744,Best birthday present EVER! Thanks @starbucks for thinking of me this year!🥹✨🤍
745,No pumpkin scone?!?! What an unfavorable choice!
746,@taramcnealll
747,TODAY’S THE DAAAAAAY
748,It’s my birthday!!!!
749,@starbucks HEY!!! Were is my pumpkin scone???? Lolol. I’m bummed. Okay. *As she drinks her PSL*
750,Apple Crisp Macchiato for THE WIN! It’s amazing🔥
751,Omwwwwwwww
752,We’re Ready 🙌
753,my favorite orderrrrrr
754,its my birthday! 😄
755,Pumpkin spice please 🍂☕️
756,Already got my Carribou Pumpkin Coffee 😏
757,🎃
758,Get your pumpkin spice away from my margarita … it’s august !!!
759,Overrated in my opinion
760,Kobe day. ♾️
761,LOVE PSL Szn 🎃🫶
762,@caliemaesmith
763,ITS THE MOST WONDERFUL TIME OF THE YEAR @nikibelieve
764,Ahh yes Kobe Bryant's jersey numbers. Beautiful!
765,WHAT ABOUT ENGLAND!???????
766,KOBE 🏀 💛💜
767,This is amazing.
768,Thank the pumpkin Gods ❤️
769,Except you have limited your sugar free options extensively.
770,TODAY IS A WONDERFUL DAY🙌
771,100 degrees in Wisconsin.. I will wait a couple more weeks😊
772,TAKE THE PUMPKINS OUT
773,The only season I avoid at Starbucks 🫢🫡
774,🙌
775,"I'm like, Kobe day!!!😍"
776,is it pumpkin spice szn already?
777,It’s Kobe day 🥳🥳
778,yeah we already knew
779,Were I live in Starbucks closed down and now has been replaced by a private clinic I like Starbucks coffee
780,It’s time 🎃
781,I’m excited 😊
782,the girls are ready😍🎃
783,It’s made out of sadness and hotdog water. And it’s not like it EVER goes away. Target has had the creamer ALL YEAR!!!
784,@olivelil07
785,🙌
786,KOBE Day
787,Scary
788,It’s about timeeeeee 👏
789,Noooo Pumpkin 👎🏻
790,My birthday present!
791,KOBE!
792,Best day of the year 😍
793,Us brown women love pumpkin spice also. 🙋🏽‍♀️
794,Greatest day ever ❤️
795,Pumpkin and Kobe day
796,YES
797,@jakepagliccia24 see it was today
798,Wasn’t at mine today 😞
799,Dm sent ❤️
800,no because i was starbucks like last week saying I KNOW THE FALL DRINKS ARE COMING! ( also why did i get ad of starbucks fall drinks on the radio after looking at this it’s a sighn! )
801,@indiamaria1 It’s happening. Stay calm. EVERYBODY STAY CALM! 🎃☕️
802,Make a vegan psl!!!
803,KOBE824 >>>>> this.
804,thats today
805,LETS GOOO
806,No need to rush the seasons! Enjoy the present the now! 🙌❤️
807,@ellapybus 🎃
808,@erin__beggan 🎃🎃
809,Are they on now as I can’t seem to order them on the app
810,🧡
811,Happy Pumpkin Spice Latte Season to all that celebrate 🧡🎃🍂☕
812,I’m READY
813,@isobel.davies.95 my dream come true
814,Yihaaaaaa!!!!! 🤠🎃🔥🔥🔥
815,It’s my birthday.
816,@lisa_shortcake omg this means I’m travelling to you with ruckingggg PSL in me veins
817,OMGGGG 🤧🤎🧡✨🫶🏼
818,💜💛
819,@target @starbucks the Best dynamic duo ☕️🎃🛒🎯😍😍
820,They’re on strike on S State Street in Westerville Ohio 😢
821,Gross
822,@starbucks when will the menu be available in UK please??? I’m so jealous right now 😭
823,YAYAYAYAYAYAYAYAYAYAYAYAYAYAYYAYAAYAYAYAYAYYAYAY IM SO EXCITED 😆!
824,🎃🎃🎃🎃🎃🎃🎃
825,Yes!!! Best time of the year! 🎃🎃🎃
826,Yaaasssss 🙌🔥 🎃
827,@verahesterofficial 😍
828,Just tired the chai one and OMG THE MOST PERFECT FALL DRINK
829,Pumpkin spice this 🐱 baby 🎃
830,OHH I CAN TASTE THE PUMPKIN CREAM COLD BREW RN 😩😩
831,When will it be in the UK🥲🎃🍂🍁❤️
832,Bring back Salted Caramel!!!!!!! pppllllleeeeeeeaaaaaase
833,😬I’m going
834,FALL IS COMING
835,IM GETTING MY WHITE GIRL ON
836,😍yaaaaasss!!!!!
837,@jdyarwd liars
838,@sarah_wright00 🎃 today 😢
839,Yaaaaassa💖🍂
840,my favourite drink cannot wait to go get it
841,No more pumpkin scone should be a CRIME
842,🙌🙌🙌
843,Thank you for returning the good things to this world!
844,Thank you for returning the good things to this world!
845,🔥😍
846,@takeyoutothesandishop
847,@teressawhitsitt
848,Petition to bring back the maple pecan latte from 4ish years ago- it was SO GOOD 😢
849,Ok but answer my DM! 🥲🥲 @starbucks
850,Thought this was a bible verse at first
851,thank you 🧡🧡🧡
852,Pumpkin daaaaaayyyyyyy
853,Why can’t we have this year round!!😫I’m obsessed!! I’ve been waiting for weeks🤣
854,PUMPKIN MUFFIN HERE I COME!! 🎃🧡🏃‍♀️
855,Next year it’ll be 07•24
856,But where are the green slime cups?
857,Why is the Frappuccino not available yet? 😔
858,Enough with the owl cake pop! Make a pumpkin 🎃 one! Now those will sell out fast asf 😂
859,Too soon!
860,IYKYK
861,But what about the UK 😢
862,happy first and last day of senior high 🫠🫠
863,Except its 110° rn 😢
864,"Yeah, good luck getting it. My Starbucks stores are always out of stuff."
865,My daughters second birthday!!
866,No. It's still to hot for this it's over 100 degrees every day until September
867,When do the Halloween cups get released??
868,How? ITS LITERALLY AUGUST!
869,😋
870,Make more sugar free options
871,🧡⭐🧡
872,💛⭐💛
873,PSL girly 4 lyfeeee 🎃❤️
874,We are pump(kin)ed!🎃
875,Saved up all my Starbucks gift cards just for Fall/Winter season 😌
876,This is powerful
877,😍
878,psl
879,❤️❤️❤️😋😋🎃🧋
880,"The marketing is wild for this, so simple"
881,RIP Kobe ❤️
882,Yahoo!!!
883,Apple crisp shaken espresso is soooo good
884,Of course @maryfannie_ you’d like this😂
885,NO
886,Happy 20th Anniversary Pumpkin Spice 🧡🧡
887,@warmandtoastyinside
888,😍
889,I missed it!!!!
890,It’s time.
891,Basic white boy checking in!
892,😂😂
893,The only joy I ever look forward to in a year
894,Kobe
895,When I tell you that my soul left and re-entered my body today after that first sip 👏🏼👏🏼👏🏼 something about this year just hit me differently. A PSL never hit me like that before
896,Finally
897,"The fact that I can’t have caffeine anymore and PSL is my favorite, is really pushing me to the edge right now 🤣"
898,bro it’s august
899,I’m doing a GIVEAWAY on my IG to celebrate! Check it out guys.
900,Yummy! 😍🤩😋🤤👏🏼👍🏼👌🏼🙌🏼🙏🏼🥰🤗❤️❤️❤️❤️❤️💕🫶🏼✨
901,My bdayyyyy
902,@taylor_danilee it’s back!!!
903,No sugar free option of course @starbucks
904,Went to Disneyland to get my PSL 🧡🎃
905,Y'all are so late. Dunkins won.
906,Is this a sabbath 😀?
907,I was told 7th Sep?!?!?
908,@starbucksuk we would love to know when we're getting it back? 🍂
909,Arghhhh jealous!!!! The U.K. will be next week no doubt 🙄
910,Who else saw the numbers and thought about Kobe
911,Pumpkin mug it's available in Romania 🇷🇴?? 🙌
912,when is the psl coming out in the uk?
913,@emilyvictoriajames7 that’s what I’d seen!!!
914,Not in the UK starbys… don’t torture us like this!!!!! 😢
915,NOOOOOOOOOOOOOOOOOOOOOOOO
916,Okay but not in my home town?
917,a pumpkin spice cheese danish needs to be in the works 😭
918,WHYD THEY DISCONTINUE THE PUMPKIN SCONE
919,@karlyvictoriaturner
920,Tis the season
921,AAAAAJAISJDODJJFRIFNDKDND
922,The gurls are already plotting the fall pics! 🍂📸
923,@scott_hugheslfc
924,❤️💋🌹🍫
925,The best!!!
926,"@starbucks I got my first one today (apple crisp oat milk shaken espresso 🤤) and spilt it all over the floor at the @target check out distracted by my 1 year old…. Sorry target, but your employees were so nice to me about it! I did have a nice cry as I left the store though🥲"
927,love
928,Christina.... YEAH!!!
929,Wish y'all had stocked in prep for this day. I heard from several friends that most places were sold out very early and I went mid-morning and every pumpkin/apple thing was sold out...
930,It may not be fall yet but I’m ready for pumpkin spice
931,How about in the UK…? 🥹
932,Why no pumpkin scones?
933,Is this the new price for grande latte ? 😆
934,Starbucks is in the mood like me
935,@riaduncan_x our fave season of drinks are on route xx
936,"@starbucks The people would love a all black hot 2 go cup!!! No designs, no pumpkins, nothing but the logo. Would’ve been perfect for a fall/ Halloween cup. Please pass to management. Thank you 🫱🏽‍🫲🏼"
937,🧡🧡🧡🧡🧡
938,Happy birthday to meeee best gift everrrrr
939,WHERE IS THE PUMPKIN SCONE
940,YAYYY
941,So where are the pumpkin scones?!?!
942,@erin.elizabeth2711
943,IYKYK!!
944,Oook but why cant i order pumpkin spice Frappuccino ?😢
945,Love pumpkin spice latte so much don’t ever take this fall drink off your fall menu please 🙏
946,Bring back the pumpkin scones!!!
947,release it internationally on the same date 😐😐😐😐
948,Disappointed there is no pumpkin scones!
949,AHHHH SPOKEY season IS officially here☁️🎀🐚
950,Why is there no pumpkin scone on the fall menu?!?! It’s my absolute favorite
951,The best time of year!
952,give us a vegan psl
953,we need dairy free psl
954,Why no Salted Caramel Mocha Frap? Look forward to it ever year.
955,"If I’m excited? Heck yes, if I’m been waiting for a year for this? Heck yes, Pumpkin season is here!🎃🎃🍂🍁"
956,@ktw24 😂😂
957,👏🙌❤️
958,@andieestone
959,YYEEEESSSS I THOUGHT I WAS GONNA HAVE TO WAIT UNTIL NEXT MONTH BRO😭
960,Mamba Day🐍
961,it’s literally august
962,@vanessa_lpz_ @wendylechuga21 @lancylo
963,Yes!!!! With it still over 100 degrees out here in TX 🥵🤠 I’m glad there’s a Pumpkin Spice Frappuccino ❄️🎃🥤 Grabbing that 1st thing in the morning 😁 HAPPY PSL EVE 🎃🎃🎃🎃🎃
964,Do you have new in starbucks
965,Omg 😆 I can’t wait !!! Looking forward for the pumpkin cream cold brew 🤤
966,ITS TIMEEEE AHHHHH
967,YASSSSS
968,@samanthaloveeee @dukesgirl007
969,🙌🏽🎃🧡🧡🧡
970,👏👏👏👏👏👏
971,😍😍😍😍
972,Pumpkin foam here we go!!! 😍
973,@brayke._.lindley 🙌🙌🙌🙌🎃
974,@lshymkewicz 🎃
975,depression gone ✅✅
976,@lilycostelloo one more dayyy
977,Can’t wait
978,🍂🍂🍂🍂
979,Liquid gold 😍😍
980,I been ready since June 😍😂🎃🎃🎃
981,@sara.dodge you’re coming back just in time🥹
982,@jessjackson94 AAAAAAAAAAAAAAAAAHHHHHHHHHHH!!!!!! Xxxxxxxxxx
983,OMG OMG OMG My day is suddenly filled with happiness!!
984,@kralston3 can’t wait!
985,@ntvasquez24 🎃
986,AAAAAAAAAAAAAHHHH
987,@jaystein looks like tomorrow is my lucky day
988,@sheabell
989,Omg that’s tomorrow 🥹😍
990,@hannahfullhearted omg may have to cheat on PJs for a sec
991,I’m gonna need you to Uber this to me @alaynashaye 🎃 ☕️
992,YESSSSSSSSS!!!!
993,So weird it's coming during a HEAT Wave!🔥 Lol!
994,Made my pumpkin cream cheese muffins tonight!! Grabbing a PSL on the way to high school football game tomorrow night!!!
995,@theothersideofdestiny76
996,Can we please make ps last year round 😭. I hate waiting for it every hear
997,@lorena_g22
998,Can’t wait! ☕️🎃
999,@floresbella_23 🖤🎃 I’m too excited! Tomorrow!
1000,No wonder I had the sudden urge to watch Hocus Pocus 🎃🧙🏽‍♀️🧹🐈‍⬛
1001,Sign. Me. Up.
1002,🎃❤PUMPKIN FRAPPUCCINO🎃❤
1003,What about the apple macchiato? 🍎
1004,FOR THE LOVE OF GOD PLEASE GIVE US SUGAR FREE PUMPKIN OPTIONS
1005,🎃 ❤️🎃🥰🎃😍
1006,Yes!!!!!🔥 I can’t wait for tomorrow
1007,ur the love of my life
1008,we should go after school @emma_braun5 😜😜
1009,@cuecue24 fitting on your BDAYYYYY
1010,This is getting me through this week.
1011,I live for this day. The most basic thing about me.
1012,YASSSSSSSSSSS
1013,@ash.goetz 🙌🏼🙌🏼🙌🏼
1014,@gabs_digimon 😍
1015,i’m about to feral
1016,@harcofusion
1017,@sweet.darling.jes @malia_ssunshine
1018,U know I don't care for Pumpkin spice...I've tried it once & I didn't care for it but to each its own
1019,@sunshine18092
1020,@laurenmarie0913 🧡🎃
1021,@raye.gr TOMORROW!!!!!!!
1022,I'm crying tears of joy 🥲
1023,My birthday!
1024,@slzeiler 🙌
1025,I’m so excited for fall! I miss the mulling spice syrup circa 2016 haha
1026,@mboliver10
1027,I’m gonna get so much work done tomorrow!
1028,❤️❤️❤️
1029,@kristikhalifaaa 😍
1030,@starbucks just why??? It’s still summer not fall what’s the freaking point!!!
1031,Yayyyyy!!!!!
1032,Spooky season will now be in full effect! See you tomorrow! 🖤
1033,Good. I was planning to come tomorrow anyway! Now my usual is back. :3
1034,THIS IS HALLOWEEN @helenedeutch
1035,😍😍😍
1036,@jaidengreg coffee date?
1037,The only thing I absolutely love from you guys!
1038,❤️
1039,@nicole__nigro
1040,@dulcearellano you ready for this
1041,Hope it brings cooler temps. We are 110 degrees and have another week of this!!!!!
1042,@_angiescity
1043,yessss
1044,🔥the Girlies will be at that line in the am ❤️❤️❤️
1045,Why this look like y’all dropping an album
1046,CANNOT WAIT FOR MY FAVE THE APPLE CRISP MACCHIATO!!!!!!!!!!!!
1047,Apple crisp???
1048,@ashley_ziegler 👏👏👏👏👏👏
1049,cervix
1050,IM SO HAPPY THANK YOU STARBUCKS
1051,🔥🔥🔥🔥🔥🔥🔥
1052,@hollywood_joe
1053,AHDHJDJDNDJS IM SO EXCITEDDDD
1054,PUMPKIN HAS ENTERED THE CHAT
1055,@molly.wintrow pumpkin cream CB!
1056,@kerbear08142015 @nikiwv87 oh yeaaaaaaaaaaaa 😂🎃❤️
1057,Omg omg omggggg it’s tomorrow 🤩🤩
1058,Omg omg omg
1059,PUMPKIN CREAM COLD BREW OMG
1060,👀
1061,Alarm set!
1062,AHHHHHHHH OH MU GAWD
1063,@brookieduck official announcement
1064,Slayyyy
1065,😍😍🎃🍂🍁🍁
1066,I LOVE
1067,YESSSS SO EXCITEDDD! 🎃🍂🫶🏼
1068,@tyraw._ 😍
1069,⭐⭐🎃🎃
1070,WHERES CARMEL BRÛLÉE
1071,@luxx.ashley
1072,IM SO EXCITED
1073,FINALLY YES
1074,I want all the smoke @starbucks 🎃
1075,OFFCIALLYY GILMOREE TIMEEE YAYAYYAYAYAYA
1076,ITS STILL SUMMER!!!!
1077,@aidaconde @veropics
1078,I could cry BYEE
1079,Where my good witch and Gilmore girlies at?
1080,🎃
1081,"Like your shairing,hope you have a nice day!"
1082,It's my birthday
1083,@mariekatie__
1084,Mañana @jeaneettoledo 🧡
1085,@forgeydan
1086,@tyler_adkins1998 IM READY
1087,You know what this means @ferney.iscool matcha with pumpkin foam 😍
1088,Best part of living my life is enjoying Pumpkin Spice without worrying about whether or not it has giraffe grass in it
1089,@buckeye_leila
1090,@l0velyrona 🧡
1091,Is it what I think it is??????
1092,@lindsay_gaston 😍😍😍
1093,OMG
1094,🖤🧡
1095,YESSSSS IVE BEEN SO EXCITED FOR THIS
1096,"if you ever see me with both an apple crisp frap and a pumpkin muffin, just know i’m at peak happiness"
1097,Is the scone coming back?!?!?
1098,😍🎃😍🎃😍🎃😍
1099,Oh shxt 🥰🫠🥲😭🥹
1100,@maddie.greif
1101,Good form🙌
1102,❤️❤️❤️❤️
1103,Hope the apple crisp chimes back toooooo 🍎 🍏
1104,Ahhhhhhhhhh!!!!
1105,@jodi.lawson !!
1106,@sammi.soprano
1107,@lexisadsett we are going after f45
1108,YEEEESS
1109,About time!! 🎃
1110,@sassygrrl76 @cynthiamotsinger 😍
1111,😍😍😍😍😍😍😍😍
1112,They don’t ever have the apple juice for the apple drink smh and it’s my fav it literally tastes like apple pie omg 😢
1113,@monicamuzquiz_
1114,@mamaof3_ashk
1115,Now do the weather 🍁🍁🍁
1116,"Your workers deserve bargaining in good faith, you should meet them at the table to negotiate. #UnionYes"
1117,@meena_randomm
1118,😍
1119,Best time of the year🙌🤤
1120,The earth is healing
1121,I am so excited!!!! Fall girl szn is back!!!😍😍
1122,disrespect kobe bryant like this yikes
1123,@angeliina_ang
1124,Yazzzzzz
1125,@cscha001 its time
1126,💛💜
1127,I tried a pumpkin spice latte once a few years ago. It was very oily and it had the same effect on me as wonder oil. 🪔
1128,CRYING 😭🧡🎃✨
1129,Stopppppppp
1130,@mschlegel0207_ 🎃😮
1131,@loudmouthjayyy ready for PS cold brew!!
1132,OMG
1133,"A half bday present for me! Thanks, Starbucks!"
1134,@melissareesecook
1135,The moment we’ve all been waiting for 🎃
1136,@giovannimq
1137,🤭🤤😍
1138,@mindymalm 👏🏼
1139,My birthday is August 24
1140,YAAASSSS
1141,YAY YAY YAYYYYY!!!!!!!! @morganpdowdle @fin.grandi
1142,"I haven’t gone to Starbucks in days to save money, but actions will be taken in the morning to retrieve my pumpkin cream cold brew. 😢😍"
1143,i better be seeing a 20th anniversary PSL inspired tumbler tomorrow
1144,i better be seeing a 20th anniversary PSL inspired tumbler tomorrow
1145,"Yes, apple crisp chai with oat milk here I come!"
1146,It’s Kobe day not whatever this is
1147,What’s does 8-24 mean ?
1148,Suddenly life feels better 🙃
1149,The Iced Apple Crisp Oatmilk Macchiato is life🍎
1150,"Vegan PSL, PLEASE."
1151,YAY so that means chesnut praline is almost here!
1152,BEST DAY LESSSGO PSL HUNNIES
1153,Omg! I can’t wait!! 🎉
1154,Aaaaaa!!!! 🎃
1155,yesirr
1156,@hairbystevie it’s almost time
1157,@leslieortizzz
1158,😍😍😍
1159,Venti pumpkin spice iced chai latte
1160,@starbucksph pls 🎃 ☕️
1161,😆 😆 😆
1162,Thank you very much 😍 ☕️ 🍂
1163,can i get a grande pumpkin spice latte please? thank you.
1164,👏
1165,Is this uk too?
1166,I hope this is also for re the creme brulee return 🙏
1167,@mdeedy31
1168,@starbucks Next year can you bring it back on the 20th of August so I can get my free birthday drink?
1169,ARE YOU JOKINGGGGGGG
1170,Y’all better be ready for us
1171,Bring back the Pumpkin Spice Madeleines! With the white drizzle! 💔
1172,@tessapignataro
1173,😍😍😍😍😍😍finally
1174,Omgg @jademichelleguimond !
1175,Omg finallyyyy I can't wait !
1176,@0hcali wouldn’t mind if you accidentally loading some $$$ on my starbies card 😉
1177,Pumpkin spice my fav!!!
1178,@delilahbarraza @kimberley_b_ @jennjas_831 @xo.naomi0
1179,"@starbucks , since you are starting pumpkin spice early, does that mean you are ending it earlier/later in the fall season than the previous last years? Thank you @starbucks 😊"
1180,It’s timmmmmmmme
1181,@mrs.loluz just in case you didn’t see
1182,I’m ready
1183,🤎🤎🤎🤍
1184,🧡🧡🤎
1185,YESSS
1186,Tooo sooooon
1187,"Hey @starbucks any plans to get rid of carrageenan in your drinks? The EU has banned it, and it's been linked to colon and breast cancer"
1188,Eeeeeek 🙌
1189,@_mrhinch068_
1190,🧡🖤 Yesss
1191,Me gusta mucho 😘
1192,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
1193,I AM SO EXCITED 🙌❤️🙌
1194,OMG ON MY BIRTHDAY
1195,@meghholcomb
1196,"Hey, India is on the moon 😎😎"
1197,No way. I can't wait
1198,🎃🎃🎃🎃🎃
1199,@seemo23 your favourite season has came along
1200,PRAISE BE
1201,@bilaltarin1
1202,@mama_zeober
1203,Ahhhhhh!! 🎃🍁🍂☕️🤤
1204,Are any cups coming out tomorrow?
1205,YESSS
1206,I've been doing a countdown for this since August 1st
1207,Omg it’s happening😩
1208,@jjavierjjuarez
1209,Fall starts tomorrow!! 😍
1210,@lanceyy.__
1211,Please …. A no sugar added option!
1212,A cup of ice with a smidge of latte 🙌
1213,ITS PUMPKIN SPICE COLD BREW TIME!!!!
1214,@luisamedina.06 u actually like this 🎃
1215,On my birthday? aww
1216,AHHHHHHHHHH AHHHHHHHH AHHHHHHHH AHHHHHHHH AHHHHHGGGG
1217,@brittneyd_duncan @brittanyrclifton
1218,Yessssss 🎃
1219,Kyahhhhhhhh
1220,@sa_diaz908 tomorrow!!!
1221,Time for me to waste all my money on you
1222,It’s. Still. SUMMER!
1223,YASSSSSSSS
1224,*cries in barista*
1225,Apple crisp macchiato too??
1226,I’m in bed early for this lol ❤️❤️❤️
1227,@courtney_monda @maddiedelisle7 😍😍
1228,This announcement is bigger than when @taylorswift announced her concert dates….
1229,@suzieeebeee_ your favorite time of the year 🙊
1230,Omg!! Yasss!
1231,Love you Starbucks ☺️☺️☺️☺️🫶🏻☕️✨🙌🏻
1232,@audreydanielsss
1233,YES YES YES YES THANK YOUUU
1234,PSL season 🧡
1235,AHHH I CANT WAIT!!!!
1236,Keep it
1237,christian girl autumn girlies are screaming
1238,Best birthday present ever!
1239,Im so excited! 🥹🥹🙌🙌😭🎃😭 Vámonos!
1240,Woooh!
1241,You need to lower your prices
1242,Hello Starbucks I want know if they sell scone pumpkin thank I will go Starbucks buy pumpkin drink best my mood thank you much
1243,So ready!! Bring on all things fall!! 🍂🍁
1244,I’d rather have the black pink collab please
1245,okay i don’t care sugar cookie next please
1246,I love you Starbucks
1247,"Oh @pinterest get ready, bech"
1248,It’s happening!!!!!!!!!
1249,YES YES YES!!!!
1250,@hayden_s_heyday IT'S COMING !!!!!!!
1251,@miss_emmagrace
1252,I don't like it 😕
1253,Sad eyes
1254,Thought this was for Kobe 😂
1255,I will be spending all extra income on Pumpkin Spice cold brew. Dave Ramsey… I’m sorry but a man has needs
1256,Kobe 💛 💜
1257,😫😫😫😫😫😫😫😫😫🤤🤤🤤🤤🤤🤤🤤😍😍😍😍😍😍
1258,Too early.
1259,Best time of year! 🧡🍁🍂
1260,No.
1261,@marie_ford97
1262,Went to Starbucks on Monday thinking it was 8/24…went back today thinking it was 8/24 AGAIN asking for pumpkin spice 🤦🏻‍♀️🤦🏻‍♀️
1263,@nadiagarcii 😍😍😍😍😍hint hint
1264,Yassss🔥🔥🔥🔥
1265,Sooooo excited 👏👏👏
1266,🎃🎃🎃🎃🎃🎃
1267,@_jensyngibson
1268,AHHHH SO EXCITED
1269,@emily__gibson13 maybe I do need to go to Pocatello tomorrow 😂
1270,IM SO EXCITED
1271,😍😮 @joe__ritchie coffee date!? 🎃 🍂
1272,Hell ya!!
1273,NO.
1274,👏
1275,love u
1276,😍😍
1277,@__jasmineet__ mañana tenemos una cita ❤️
1278,@emmajadee._ 😋😋😋
1279,Bring. It. On 🎃🎁
1280,@shasta.e.jones 😍
1281,"Well, it's official. I'll be there way more than I or any one person needs to be for a couple months. 😂 🧡🎃"
1282,🤗 nice
1283,@iitamay do you share my joy in this 😱
1284,@brandi.kay.17 ☕💛🧡🍂🍁🎃
1285,🧡🧡🧡
1286,🍎a p p l e c r i s p🍏
1287,If they mess up my pumpkin spice tomorrow morning I WILL BE UPSET
1288,Yess!!!
1289,@paula.maxine
1290,Yay!!!
1291,Lol watch they will be out of everything pumpkin by lunch.
1292,I mean 🥰🥹🎃🧡🍂🙌🏽 So ready!!!
1293,It’s STILL SUMMER … for another Fn MONTH !!!!!!!
1294,THANK YOU!!!!! 🙌🙌🙌🙌
1295,@samuelcasaus
1296,And so it begins
1297,LETS GO!!!!! 👏👏👏
1298,Hurry up! I see no pumpkin spice anything in stores yet
1299,@jadenparker24
1300,LFGGGGG
1301,Yesssssssssss
1302,@caseysfa
1303,@castillo.chris_ @heartinari
1304,I’m there
1305,@simonexmarn
1306,🎃🍂🍁☕️
1307,Omfggggg I have been checking the menu forever to see if it was available yet 😍
1308,😍😍🎃
1309,Ruining Halloween! Whyyyyyyy?!!!
1310,😂😂😂
1311,Kobe day though
1312,🎃🎃🎃☕️🥹✨
1313,My heart says get ALL of the fall starbies line my wallet says hahahahaha ya no 🤣🙈
1314,I’ll be coming tomorrow
1315,"Half ready, half not! 🎃"
1316,@micaeladelisa are we goin?
1317,No.
1318,Can we get an Apple chai in the mix? ❤️ Apple Cinnamon Dolce? 🍏
1319,The white girl in me is so excited
1320,It’s real ❤️
1321,@nessa__ah pumpkin spice? 👀🎃
1322,@leonelthemega IT’S TIMEEE!!!!
1323,WIN WING 🪽
1324,yas pumpkin spice late
1325,That date taken if you don’t know now you know #kobebeanbryant24 Day 8/24 💜💛#kb24forever
1326,🎉
1327,We will all be buying
1328,OMFG
1329,FINALLY
1330,#ready #psl 🍁
1331,Will you also start selling apple cider?
1332,🤞🤞🥃😋
1333,I’ve waited so long for this day
1334,Man why y’all always the last ones
1335,How can I go about finding the cups!
1336,@kaylaxnguyen
1337,🎃🎃🎃🎃
1338,Sounds like music 🎵 to my ears!! 🎃 season and PSL with cold foam on top is the yummiest fall season drink 😃
1339,My birthday 🥳
1340,I’ll be there! 🎃
1341,Tomorrow is my birthday!!! Best day to have a fall drink!
1342,I AM READYYY 🎃🎃🎃🧡🧡🧡
1343,I don’t get it
1344,YAY
1345,Why am I having so much anxiety right now! 😢it’s just Fall Starbucks drinks 🫠😋
1346,Pumpkin cold brew 🤪
1347,@jessguyler
1348,Stoked love my PSL
1349,🧡🧡🧡🧡
1350,🎃🧡🧡
1351,@karraastleyx
1352,thank you ily
1353,OMGGG FINALLYYYYYY!!!!🍂🍁🎃
1354,😭😭😭😭🥳🥳🥳🥳🥳🥳🥳
1355,I thought it was gunna be something with Kobe lol
